Id,Job,Company,Address,Deadline,URL
96,Marketing Representative,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
97,Online Marketing Analyst,daraz.com.np,"Gairidhara, Kathmandu","April 4, 2019, 11:59 p.m.",www.merojobs.com/google/login/?method=oauth2
98,Marketing Personnel,Bramha Devi Security,"Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/marketing-representative-207/
99,Sales and Marketing Engineer,Trade Link Inc.,Kathmandu,"April 5, 2019, 11:55 p.m.",www.merojobs.com/online-marketing-analyst/
100,Digital Executive,daraz.com.np,"Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/marketing-personnel-18/
101,Recovery Officer,Hulas Investment Pvt. Ltd.,"Birgunj,Pokhara & Gorkha","April 5, 2019, 5 p.m.",www.merojobs.com/facebook/login/
102,Assistant Manager-Finance,Vianet Communications,"Bharatpur, Kawasoti, Butwal, Bhairahawa, Jeetpur, Kohalpu...","April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
103,Executive – Accounts,Flash Freight Logistics,"Damak, Birtamod, Itahari, Dharan, Biratnagar , Inaruwa, R...","April 6, 2019, 11:55 p.m.",www.merojobs.com/recovery-officer-14/
104,Sr. Executive – Accounts,Flash Freight Logistics,"Jawalakhel, Lalitpur","April 6, 2019, 11:55 p.m.",www.merojobs.com/assistant-manager-finance-7/
105,Internal Audit & MIS (Senior / Junior),Jagdamba Steels,"Based in HQ, Pulchowk Lalitpur","April 13, 2019, 11:55 p.m.",www.merojobs.com/sr-executive-accounts-3/
106,Communications & Administration Officer,Action For Nepal,"Kathmandu, Nepal","April 6, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
107,Sales Assistant,Asian Paints (Nepal),Outside Valley,"April 7, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
108,Resource Officer/ Business Development Officer,Golyan Group,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/communications-administration-officer/
109,Sales and Marketing Executive- Female,MOBEECO,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/sales-assistant-49/
110,Sales Officer,Mercantile Traders,"Kantipath, Kathamandu","April 3, 2019, 11:55 p.m.",www.merojobs.com/resource-officer-business-development-officer/
