Job,Company,Address,Deadline,URL
Online Marketing Analyst,daraz.com.np,"Gairidhara, Kathmandu",2019-04-04,www.merojobs.com/google/login/?method=oauth2
Marketing Personnel,Bramha Devi Security,"Kathmandu, Nepal",2019-04-07,www.merojobs.com/marketing-representative-207/
Sales and Marketing Engineer,Trade Link Inc.,Kathmandu,2019-04-05,www.merojobs.com/online-marketing-analyst/
Digital Executive,daraz.com.np,"Kathmandu, Nepal",2019-04-07,www.merojobs.com/marketing-personnel-18/
Recovery Officer,Hulas Investment Pvt. Ltd.,"Birgunj,Pokhara & Gorkha",2019-04-05,www.merojobs.com/facebook/login/
Assistant Manager-Finance,Vianet Communications,"Bharatpur, Kawasoti, Butwal, Bhairahawa, Jeetpur, Kohalpu...",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Executive – Accounts,Flash Freight Logistics,"Damak, Birtamod, Itahari, Dharan, Biratnagar , Inaruwa, R...",2019-04-06,www.merojobs.com/recovery-officer-14/
Sr. Executive – Accounts,Flash Freight Logistics,"Jawalakhel, Lalitpur",2019-04-06,www.merojobs.com/assistant-manager-finance-7/
Internal Audit & MIS (Senior / Junior),Jagdamba Steels,"Based in HQ, Pulchowk Lalitpur",2019-04-13,www.merojobs.com/sr-executive-accounts-3/
Communications & Administration Officer,Action For Nepal,"Kathmandu, Nepal",2019-04-06,www.merojobs.com/facebook/login/
Sales Assistant,Asian Paints (Nepal),Outside Valley,2019-04-07,www.merojobs.com/google/login/?method=oauth2
Resource Officer/ Business Development Officer,Golyan Group,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/communications-administration-officer/
Sales and Marketing Executive- Female,MOBEECO,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/sales-assistant-49/
Sales Officer,Mercantile Traders,"Kantipath, Kathamandu",2019-04-03,www.merojobs.com/resource-officer-business-development-officer/
IT Officer,Asian Paints (Nepal),Hetauda,2019-04-03,www.merojobs.com/facebook/login/
Angular Developer,Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal",2019-04-06,www.merojobs.com/google/login/?method=oauth2
Technical Writer,Eight Square,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/it-officer-332/
PHP Developer,KTM CTY,Kathmandu,2019-04-09,www.merojobs.com/angular-developer-11/
"Team Lead (Java, Python, Javascript, NodeJs)",GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",2019-04-09,www.merojobs.com/technical-writer-24/
School Nurse,Eurokids Tinkune,"Tinkune, Kathmandu",2019-04-05,www.merojobs.com/facebook/login/
Medical Officer,Nepal International Fertility & Laparoscopic Centre,Pulchowk,2019-04-04,www.merojobs.com/google/login/?method=oauth2
Marketing Executive,Synergy Therapeutics,"Kathmandu , Janakpur , Pokhara, Biratnagar , Birgunj",2019-04-06,www.merojobs.com/school-nurse-10/
Medical Officer,Raskot Community Hospital,"Raskot-5,Kalikot, Karnali Province",2019-04-03,www.merojobs.com/medical-officer-65/
Hospital Manager and Project Executive,Raskot Community Hospital,"Raskot-5, Kalikot, Karnali Province",2019-04-04,www.merojobs.com/marketing-executive-774/
Awards Coordinator,Save the Children,Kathmandu,2019-04-05,www.merojobs.com/facebook/login/
Finance & Admin. Officer,Save the Children,Sarlahi,2019-04-05,www.merojobs.com/google/login/?method=oauth2
Sr. MEL Officer,Humanity & Inclusion (HI),Country Office with field visits,2019-04-07,www.merojobs.com/awards-coordinator/
Program Manager,Opportunity Village Nepal,Nepal,2019-04-05,www.merojobs.com/finance-admin-officer-11/
Advocacy Officer,National Federation of the Deaf Nepal (NDFN),"Kathmandu, Nepal with frequent travel in the project  dis...",2019-04-07,www.merojobs.com/sr-mel-officer/
Head of Operations (HOO),Kathford College of Engineering and Management,"Lalitpur, Nepal",2019-04-02,www.merojobs.com/facebook/login/
School Librarian,Bhaktapur NIST School,Bhaktapur,2019-04-05,www.merojobs.com/google/login/?method=oauth2
Academic Head,Bhaktapur NIST School,"Bhaktapur, Nepal",2019-04-05,www.merojobs.com/head-of-operations-hoo-2/
Vice Principal,Bhaktapur NIST School,"Bhaktapur, Nepal",2019-04-05,www.merojobs.com/school-librarian-4/
"School Coordinators (Primary, Middle School & High school)",Bhaktapur NIST School,"Bhaktapur, Nepal",2019-04-05,www.merojobs.com/academic-head-3/
Assistant - IT,Everest Bank Limited,"Dharan, Dhulikhel",2019-04-02,www.merojobs.com/facebook/login/
Waiter / Waitress,Captain Egg,Hadigau,2019-04-12,www.merojobs.com/facebook/login/
Chef / Head Chef,Himalayan Java Coffee,"Kathmandu, Nepal",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Sales & Marketing Team Member,The Nana Hotels,"Hadigau, Kathmandu",2019-04-13,www.merojobs.com/waiter-waitress-22/
Executive Chef,Ai-La Restaurant Lounge,"Kumaripati, Lalitpur",2019-04-05,www.merojobs.com/chef-head-chef/
Restaurant Manager,Ai-La Restaurant Lounge,"Kathmandu, Nepal",2019-04-05,www.merojobs.com/sales-marketing-team-member/
Content Writer,Hopnepal.com,"Maitidevi, Kathmandu",2019-04-06,www.merojobs.com/facebook/login/
Content Writers / Data Analyst (Evening Shift),Datalytics,"Bhatbhateni, Naxal",2019-04-07,www.merojobs.com/google/login/?method=oauth2
Content / Article Writer,Broadway Infosys Nepal,"Shriganesh Marg, Subidhanagar, Tinkune, Kathmandu 44600, ...",2019-04-03,www.merojobs.com/writer-3/
Customer Support Interns - Few,Max Digital TV,"Kathmandu, Nepal",2019-04-06,www.merojobs.com/content-writers-data-analyst/
Content Writer,Global Entrepreneurship Bootcamp,"Anamnagar, Kathmandu",2019-04-06,www.merojobs.com/content-article-writer-13/
Executive Secretary,A Conglomerate Company,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/facebook/login/
School Front Desk Officer,Bhaktapur NIST School,Bhaktapur,2019-04-05,www.merojobs.com/google/login/?method=oauth2
Executive Secretary,Gurkhas Finance Limited,"Dillibazar, Kathmandu",2019-04-05,www.merojobs.com/executive-secretary-98/
Office Secretary,Osho Recruiting Agency,"Purano Baneshwor, Kathmandu",2019-04-04,www.merojobs.com/school-front-desk-officer/
Receptionist,National School of Sciences,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/executive-secretary-100/
Quality Control Manager,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu",2019-04-06,www.merojobs.com/facebook/login/
Quality Assurance Manager,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu",2019-04-06,www.merojobs.com/google/login/?method=oauth2
Sr. Maintenance Manager - Execution,Airtech Industries Pvt. Ltd.,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/quality-control-manager-18/
CCU- Connectivity Care Unit,Bajaj 2 Wheelers,"Maharajgunj, Kathmandu",2019-04-03,www.merojobs.com/quality-assurance-manager-8/
हेड मेकानिक्स,Bajaj 2 Wheelers,"Maharajgunj, Kathmandu",2019-04-03,www.merojobs.com/sr-maintenance-manager-execution-2/
Graphic Designer,Innovate Nepal Group,"Kathmandu, Nepal",2019-04-05,www.merojobs.com/facebook/login/
Graphic Designer,Kreativ Nepa,"Babarmahal, Near Rosebud School",2019-04-06,www.merojobs.com/google/login/?method=oauth2
Graphic Designer,MOBEECO,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/graphic-designer-602/
Graphics Designer,Amplecube,Kathmandu,2019-04-04,www.merojobs.com/graphic-designer-603/
IT & Website Designer,Fishtail Tours & Travels,"Baluwatar, Kathmandu, Central Development Region, Nepal",2019-04-02,www.merojobs.com/graphic-designer-2d-3d-posters/
Storekeeper- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",2019-04-20,www.merojobs.com/facebook/login/
Trainee Assistant,Siddhartha Bank,Inside and Outside Valley,2019-04-15,www.merojobs.com/facebook/login/
Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,2019-04-13,www.merojobs.com/google/login/?method=oauth2
Store Manager/ Cashier,Pioneer Trade Concern,"Kathmandu, Nepal",2019-04-14,www.merojobs.com/trainee-assistant-43/
Internal Audit & MIS (Senior / Junior),Jagdamba Steels,"Naxal, Kathmandu",2019-04-13,www.merojobs.com/assistant-anesthesia/
Store Head (GM),Jagdamba Steels,"Simara, Bara",2019-04-13,www.merojobs.com/store-manager-cashier-2/
Civil Engineer,Jagadamba International,"Chabahil, Kathmandu",2019-04-05,www.merojobs.com/facebook/login/
Electrical Engineer,Jagadamba International,"Mitrapark, Chabahil",2019-04-05,www.merojobs.com/google/login/?method=oauth2
IT Engineer,Jagadamba International,Kathmandu,2019-04-05,www.merojobs.com/civil-engineer-353/
Site Supervisor,A Reputed Interior Based Company,Basundhara,2019-04-08,www.merojobs.com/electrical-engineer-95/
